grid,nr,cvs,kappas
2,0,5.50000000*16.50000000,8.00000000e+01*8.00000000e+01
2,1,5.50000000*17.00000000,8.00000000e+01*8.00000000e+01
2,2,5.50000000*17.50000000,8.00000000e+01*8.00000000e+01
2,3,5.50000000*18.50000000,8.00000000e+01*8.00000000e+01
2,4,5.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,5,5.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,6,6.00000000*16.50000000,8.00000000e+01*8.00000000e+01
2,7,6.00000000*18.50000000,8.00000000e+01*8.00000000e+01
2,8,6.00000000*19.50000000,8.00000000e+01*8.00000000e+01
2,9,6.50000000*15.50000000,8.00000000e+01*8.00000000e+01
2,10,6.50000000*16.00000000,8.00000000e+01*8.00000000e+01
2,11,6.50000000*16.50000000,8.00000000e+01*8.00000000e+01
2,12,6.50000000*17.50000000,8.00000000e+01*8.00000000e+01
2,13,6.50000000*18.00000000,8.00000000e+01*8.00000000e+01
2,14,6.50000000*18.50000000,8.00000000e+01*8.00000000e+01
2,15,6.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,16,6.50000000*20.50000000,8.00000000e+01*8.00000000e+01
2,17,7.00000000*15.50000000,8.00000000e+01*8.00000000e+01
2,18,7.00000000*16.50000000,8.00000000e+01*8.00000000e+01
2,19,7.00000000*17.50000000,8.00000000e+01*8.00000000e+01
2,20,7.00000000*19.50000000,8.00000000e+01*8.00000000e+01
2,21,7.00000000*20.50000000,8.00000000e+01*8.00000000e+01
2,22,7.50000000*15.50000000,8.00000000e+01*8.00000000e+01
2,23,7.50000000*16.00000000,8.00000000e+01*8.00000000e+01
2,24,7.50000000*16.50000000,8.00000000e+01*8.00000000e+01
2,25,7.50000000*17.00000000,8.00000000e+01*8.00000000e+01
2,26,7.50000000*17.50000000,4.00000000e+01*4.00000000e+01
2,27,7.50000000*18.00000000,4.00000000e+01*4.00000000e+01
2,28,7.50000000*18.50000000,4.00000000e+01*4.00000000e+01
2,29,7.50000000*19.00000000,8.00000000e+01*8.00000000e+01
2,30,7.50000000*19.50000000,8.00000000e+01*8.00000000e+01
2,31,7.50000000*20.00000000,8.00000000e+01*8.00000000e+01
2,32,7.50000000*20.50000000,8.00000000e+01*8.00000000e+01
2,33,8.00000000*17.50000000,8.00000000e+01*8.00000000e+01
