grid,nr,cvs,kappas
1,0,0.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,1,0.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,2,0.50000000*12.50000000,8.00000000e+01*8.00000000e+01
1,3,0.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,4,0.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,5,0.50000000*14.00000000,8.00000000e+01*8.00000000e+01
1,6,0.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,7,0.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,8,0.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,9,0.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,10,0.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,11,0.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,12,0.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,13,1.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,14,1.00000000*13.50000000,8.00000000e+01*8.00000000e+01
1,15,1.00000000*14.50000000,8.00000000e+01*8.00000000e+01
1,16,1.00000000*15.50000000,8.00000000e+01*8.00000000e+01
1,17,1.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,18,1.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,19,1.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,20,1.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,21,1.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,22,1.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,23,1.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,24,1.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,25,1.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,26,1.50000000*15.00000000,4.00000000e+01*4.00000000e+01
1,27,1.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,28,1.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,29,1.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,30,1.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,31,2.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,32,2.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,33,2.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,34,2.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,35,2.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,36,2.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,37,2.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,38,2.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,39,2.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,40,2.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,41,2.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,42,3.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,43,3.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,44,3.00000000*15.50000000,4.00000000e+01*4.00000000e+01
1,45,3.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,46,3.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,47,3.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,48,3.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,49,3.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,50,3.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,51,3.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,52,3.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,53,3.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,54,3.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,55,3.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,56,3.50000000*14.00000000,4.00000000e+01*4.00000000e+01
1,57,3.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,58,3.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,59,3.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,60,3.50000000*16.00000000,4.00000000e+01*4.00000000e+01
1,61,3.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,62,3.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,63,3.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,64,3.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,65,4.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,66,4.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,67,4.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,68,4.00000000*15.50000000,8.00000000e+01*8.00000000e+01
1,69,4.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,70,4.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,71,4.00000000*18.50000000,8.00000000e+01*8.00000000e+01
1,72,4.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,73,4.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,74,4.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,75,4.50000000*11.50000000,4.00000000e+01*4.00000000e+01
1,76,4.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,77,4.50000000*13.00000000,8.00000000e+01*8.00000000e+01
1,78,4.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,79,4.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,80,4.50000000*15.00000000,8.00000000e+01*8.00000000e+01
1,81,4.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,82,4.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,83,4.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,84,4.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,85,4.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,86,4.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,87,5.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,88,5.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,89,5.00000000*11.50000000,8.00000000e+01*8.00000000e+01
1,90,5.00000000*12.50000000,4.00000000e+01*4.00000000e+01
1,91,5.00000000*13.50000000,4.00000000e+01*4.00000000e+01
1,92,5.00000000*14.50000000,8.00000000e+01*8.00000000e+01
1,93,5.00000000*16.50000000,8.00000000e+01*8.00000000e+01
1,94,5.00000000*17.50000000,8.00000000e+01*8.00000000e+01
1,95,5.00000000*18.50000000,8.00000000e+01*8.00000000e+01
1,96,5.50000000*7.50000000,8.00000000e+01*8.00000000e+01
1,97,5.50000000*8.00000000,8.00000000e+01*8.00000000e+01
1,98,5.50000000*8.50000000,8.00000000e+01*8.00000000e+01
1,99,5.50000000*9.00000000,8.00000000e+01*8.00000000e+01
1,100,5.50000000*9.50000000,8.00000000e+01*8.00000000e+01
1,101,5.50000000*10.00000000,8.00000000e+01*8.00000000e+01
1,102,5.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,103,5.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,104,5.50000000*11.50000000,8.00000000e+01*8.00000000e+01
1,105,5.50000000*12.00000000,8.00000000e+01*8.00000000e+01
1,106,5.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,107,5.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,108,5.50000000*14.00000000,4.00000000e+01*4.00000000e+01
1,109,5.50000000*14.50000000,4.00000000e+01*4.00000000e+01
1,110,5.50000000*15.00000000,4.00000000e+01*4.00000000e+01
1,111,5.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,112,5.50000000*16.00000000,8.00000000e+01*8.00000000e+01
1,113,5.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,114,5.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,115,5.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,116,5.50000000*18.00000000,8.00000000e+01*8.00000000e+01
1,117,5.50000000*18.50000000,8.00000000e+01*8.00000000e+01
1,118,6.00000000*7.50000000,8.00000000e+01*8.00000000e+01
1,119,6.00000000*8.50000000,8.00000000e+01*8.00000000e+01
1,120,6.00000000*9.50000000,8.00000000e+01*8.00000000e+01
1,121,6.00000000*10.50000000,8.00000000e+01*8.00000000e+01
1,122,6.00000000*11.50000000,8.00000000e+01*8.00000000e+01
