grid,nr,cvs,kappas
1,0,11.50000000*13.50000000,2.00000000e+01*2.00000000e+01
1,1,11.50000000*14.50000000,2.00000000e+01*2.00000000e+01
1,2,11.50000000*15.00000000,2.00000000e+01*2.00000000e+01
1,3,11.50000000*15.50000000,2.00000000e+01*2.00000000e+01
1,4,12.00000000*13.50000000,2.00000000e+01*2.00000000e+01
1,5,12.00000000*15.50000000,2.00000000e+01*2.00000000e+01
1,6,12.50000000*13.50000000,2.00000000e+01*2.00000000e+01
1,7,12.50000000*15.50000000,2.00000000e+01*2.00000000e+01
1,8,14.50000000*13.50000000,1.00000000e+01*1.00000000e+01
1,9,14.50000000*14.00000000,1.00000000e+01*1.00000000e+01
1,10,14.50000000*14.50000000,1.00000000e+01*1.00000000e+01
1,11,11.00000000*15.00000000,2.00000000e+01*2.00000000e+01
1,12,12.00000000*13.00000000,2.00000000e+01*2.00000000e+01
1,13,12.00000000*14.00000000,2.00000000e+01*2.00000000e+01
1,14,12.00000000*15.00000000,2.00000000e+01*2.00000000e+01
1,15,12.00000000*16.00000000,2.00000000e+01*2.00000000e+01
1,16,4.50000000*14.50000000,8.00000000e+01*8.00000000e+01
1,17,4.50000000*16.50000000,4.00000000e+01*4.00000000e+01
1,18,5.00000000*14.50000000,4.00000000e+01*4.00000000e+01
1,19,5.00000000*16.50000000,4.00000000e+01*4.00000000e+01
1,20,5.50000000*13.50000000,8.00000000e+01*8.00000000e+01
1,21,5.50000000*14.00000000,8.00000000e+01*8.00000000e+01
1,22,5.50000000*14.50000000,2.00000000e+01*2.00000000e+01
1,23,5.50000000*15.00000000,2.00000000e+01*2.00000000e+01
1,24,5.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,25,5.50000000*16.00000000,2.00000000e+01*2.00000000e+01
1,26,5.50000000*16.50000000,4.00000000e+01*4.00000000e+01
1,27,5.50000000*17.00000000,8.00000000e+01*8.00000000e+01
1,28,5.50000000*17.50000000,8.00000000e+01*8.00000000e+01
1,29,6.00000000*15.50000000,4.00000000e+01*4.00000000e+01
1,30,6.00000000*16.50000000,4.00000000e+01*4.00000000e+01
1,31,6.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,32,6.50000000*14.00000000,4.00000000e+01*4.00000000e+01
1,33,6.50000000*14.50000000,2.00000000e+01*2.00000000e+01
1,34,6.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,35,6.50000000*16.00000000,4.00000000e+01*4.00000000e+01
1,36,6.50000000*16.50000000,4.00000000e+01*4.00000000e+01
1,37,7.50000000*15.50000000,8.00000000e+01*8.00000000e+01
1,38,7.50000000*16.00000000,4.00000000e+01*4.00000000e+01
1,39,7.50000000*16.50000000,4.00000000e+01*4.00000000e+01
1,40,8.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,41,8.50000000*16.00000000,4.00000000e+01*4.00000000e+01
1,42,8.50000000*16.50000000,8.00000000e+01*8.00000000e+01
1,43,9.00000000*15.50000000,4.00000000e+01*4.00000000e+01
1,44,9.00000000*16.50000000,4.00000000e+01*4.00000000e+01
1,45,9.50000000*13.50000000,4.00000000e+01*4.00000000e+01
1,46,9.50000000*14.00000000,4.00000000e+01*4.00000000e+01
1,47,9.50000000*14.50000000,4.00000000e+01*4.00000000e+01
1,48,9.50000000*15.00000000,4.00000000e+01*4.00000000e+01
1,49,9.50000000*15.50000000,4.00000000e+01*4.00000000e+01
1,50,9.50000000*16.00000000,4.00000000e+01*4.00000000e+01
1,51,9.50000000*16.50000000,4.00000000e+01*4.00000000e+01
1,52,10.00000000*13.50000000,4.00000000e+01*4.00000000e+01
1,53,10.00000000*14.50000000,4.00000000e+01*4.00000000e+01
1,54,10.00000000*15.50000000,4.00000000e+01*4.00000000e+01
1,55,10.50000000*10.50000000,8.00000000e+01*8.00000000e+01
1,56,10.50000000*11.00000000,8.00000000e+01*8.00000000e+01
1,57,10.50000000*11.50000000,4.00000000e+01*4.00000000e+01
1,58,10.50000000*12.50000000,4.00000000e+01*4.00000000e+01
1,59,10.50000000*13.00000000,4.00000000e+01*4.00000000e+01
1,60,10.50000000*13.50000000,4.00000000e+01*4.00000000e+01
