grid,nr,cvs,kappas
0,0,0.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,1,0.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,2,0.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,3,0.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,4,0.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,5,0.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,6,0.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,7,0.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,8,0.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,9,0.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,10,0.00000000*20.00000000,8.00000000e+01*8.00000000e+01
0,11,0.00000000*22.00000000,8.00000000e+01*8.00000000e+01
0,12,0.00000000*24.00000000,8.00000000e+01*8.00000000e+01
0,13,2.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,14,2.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,15,2.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,16,2.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,17,2.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,18,2.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,19,2.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,20,2.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,21,2.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,22,2.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,23,2.00000000*20.00000000,8.00000000e+01*8.00000000e+01
0,24,2.00000000*22.00000000,8.00000000e+01*8.00000000e+01
0,25,2.00000000*24.00000000,8.00000000e+01*8.00000000e+01
0,26,4.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,27,4.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,28,4.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,29,4.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,30,4.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,31,4.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,32,4.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,33,4.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,34,4.00000000*16.00000000,8.00000000e+01*8.00000000e+01
0,35,4.00000000*18.00000000,8.00000000e+01*8.00000000e+01
0,36,4.00000000*20.00000000,8.00000000e+01*8.00000000e+01
0,37,4.00000000*22.00000000,8.00000000e+01*8.00000000e+01
0,38,4.00000000*24.00000000,8.00000000e+01*8.00000000e+01
0,39,6.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,40,6.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,41,6.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,42,6.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,43,6.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,44,6.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,45,6.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,46,6.00000000*14.00000000,8.00000000e+01*8.00000000e+01
0,47,6.00000000*16.00000000,2.00000000e+01*2.00000000e+01
0,48,6.00000000*18.00000000,2.00000000e+01*2.00000000e+01
0,49,6.00000000*20.00000000,1.00000000e+01*1.00000000e+01
0,50,6.00000000*22.00000000,4.00000000e+01*4.00000000e+01
0,51,6.00000000*24.00000000,8.00000000e+01*8.00000000e+01
0,52,8.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,53,8.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,54,8.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,55,8.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,56,8.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,57,8.00000000*10.00000000,8.00000000e+01*8.00000000e+01
0,58,8.00000000*12.00000000,8.00000000e+01*8.00000000e+01
0,59,8.00000000*14.00000000,4.00000000e+01*4.00000000e+01
0,60,8.00000000*16.00000000,2.00000000e+01*2.00000000e+01
0,61,8.00000000*18.00000000,2.00000000e+01*2.00000000e+01
0,62,8.00000000*20.00000000,1.00000000e+01*1.00000000e+01
0,63,8.00000000*22.00000000,4.00000000e+01*4.00000000e+01
0,64,8.00000000*24.00000000,8.00000000e+01*8.00000000e+01
0,65,10.00000000*0.00000000,8.00000000e+01*8.00000000e+01
0,66,10.00000000*2.00000000,8.00000000e+01*8.00000000e+01
0,67,10.00000000*4.00000000,8.00000000e+01*8.00000000e+01
0,68,10.00000000*6.00000000,8.00000000e+01*8.00000000e+01
0,69,10.00000000*8.00000000,8.00000000e+01*8.00000000e+01
0,70,10.00000000*10.00000000,8.00000000e+01*8.00000000e+01
