layer,nr,cvs,kappas,type
1,0,-15.00000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,1,-15.00000000*-8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,2,-15.00000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,3,-15.00000000*-5.25000000,6.40000000e+01*6.40000000e+01,new_node
1,4,-15.00000000*-3.75000000,6.40000000e+01*6.40000000e+01,new_node
1,5,-15.00000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,6,-15.00000000*-0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,7,-15.00000000*0.75000000,1.60000000e+01*1.60000000e+01,new_node
1,8,-15.00000000*2.25000000,1.60000000e+01*1.60000000e+01,new_node
1,9,-15.00000000*3.75000000,6.40000000e+01*6.40000000e+01,new_node
1,10,-15.00000000*5.25000000,6.40000000e+01*6.40000000e+01,new_node
1,11,-15.00000000*6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,12,-15.00000000*8.25000000,3.20000000e+01*3.20000000e+01,new_node
1,13,-15.00000000*9.75000000,6.40000000e+01*6.40000000e+01,new_node
1,14,-14.25000000*-11.25000000,6.40000000e+01*6.40000000e+01,new_node
1,15,-14.25000000*-10.50000000,3.20000000e+01*3.20000000e+01,new_node
1,16,-14.25000000*-9.75000000,3.20000000e+01*3.20000000e+01,new_node
1,17,-14.25000000*-9.00000000,3.20000000e+01*3.20000000e+01,new_node
1,18,-14.25000000*-8.25000000,6.40000000e+01*6.40000000e+01,new_node
1,19,-14.25000000*-7.50000000,6.40000000e+01*6.40000000e+01,new_node
1,20,-14.25000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,21,-14.25000000*-6.00000000,6.40000000e+01*6.40000000e+01,new_node
1,22,-14.25000000*-5.25000000,6.40000000e+01*6.40000000e+01,new_node
1,23,-14.25000000*-4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,24,-14.25000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,25,-14.25000000*-3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,26,-14.25000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
