layer,nr,cvs,kappas,type
0,0,-0.85000000,1.00000000e+03,node
0,1,-0.80000000,1.00000000e+03,node
0,2,-0.75000000,1.00000000e+03,node
0,3,-0.70000000,1.00000000e+03,node
0,4,-0.65000000,2.00000000e+03,node
0,5,-0.60000000,4.00000000e+03,node
0,6,-0.55000000,4.00000000e+03,node
0,7,-0.50000000,4.00000000e+03,node
0,8,-0.45000000,2.00000000e+03,node
0,9,-0.40000000,2.00000000e+03,node
0,10,-0.35000000,2.00000000e+03,node
0,11,-0.30000000,2.00000000e+03,node
0,12,-0.25000000,2.00000000e+03,node
0,13,-0.20000000,2.00000000e+03,node
0,14,-0.15000000,2.00000000e+03,node
0,15,-0.10000000,2.00000000e+03,node
0,16,-0.05000000,2.00000000e+03,node
0,17,0.00000000,2.00000000e+03,node
0,18,0.05000000,2.00000000e+03,node
0,19,0.10000000,2.00000000e+03,node
0,20,0.15000000,2.00000000e+03,node
0,21,0.20000000,2.00000000e+03,node
0,22,0.25000000,2.00000000e+03,node
0,23,0.30000000,2.00000000e+03,node
0,24,0.35000000,2.00000000e+03,node
0,25,0.40000000,2.00000000e+03,node
0,26,0.45000000,2.00000000e+03,node
0,27,0.50000000,2.00000000e+03,node
0,28,0.55000000,2.00000000e+03,node
0,29,0.60000000,2.00000000e+03,node
0,30,0.65000000,2.00000000e+03,node
0,31,0.70000000,2.00000000e+03,node
0,32,0.75000000,1.00000000e+03,node
0,33,0.80000000,1.00000000e+03,node
0,34,0.85000000,2.00000000e+03,node
